City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Aleksandrovskoye,RU,44.7142,43.0008,48.34,85,32,10.02,scattered clouds
108,Souillac,MU,-20.5167,57.5167,72.36,83,75,14.97,broken clouds
109,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,90,18.41,light rain
110,Naze,JP,28.3667,129.4833,77.2,85,37,10.0,scattered clouds
111,Narsaq,GL,60.9167,-46.05,34.11,69,0,1.3,clear sky
112,Anadyr,RU,64.75,177.4833,28.9,79,75,4.0,broken clouds
113,Kimparana,ML,12.8347,-4.9244,83.77,52,13,7.49,few clouds
114,Haines Junction,CA,60.7522,-137.5108,44.55,45,100,4.61,overcast clouds
115,Batagay-Alyta,RU,67.8006,130.4114,24.12,91,84,3.18,broken clouds
116,Longyearbyen,SJ,78.2186,15.6401,40.84,81,40,11.5,light rain
117,Manokwari,ID,-0.8667,134.0833,78.42,76,100,2.44,overcast clouds
118,Sanghar,PK,26.0466,68.9481,87.87,64,18,12.53,few clouds
119,Moreira Sales,BR,-24.0622,-53.0069,85.41,34,42,8.9,scattered clouds
120,Bandarbeyla,SO,9.4942,50.8122,76.98,87,60,22.48,broken clouds
121,Clyde River,CA,70.4692,-68.5914,32.23,86,20,5.75,few clouds
122,Nouadhibou,MR,20.931,-17.0347,71.58,83,0,17.27,clear sky
123,Qaqortoq,GL,60.7167,-46.0333,36.48,76,0,7.54,clear sky
124,Ilulissat,GL,69.2167,-51.1,9.23,74,0,5.08,clear sky
125,Carnarvon,AU,-24.8667,113.6333,66.27,72,40,10.36,scattered clouds
126,Harker Heights,US,31.0835,-97.6597,90.81,29,10,6.04,clear sky
127,Necochea,AR,-38.5473,-58.7368,66.04,76,0,11.25,clear sky
128,Ahuimanu,US,21.4447,-157.8378,83.75,72,21,15.86,few clouds
129,Lasa,IT,46.6166,10.7002,61.54,96,85,3.13,overcast clouds
130,Diego De Almagro,CL,-26.3667,-70.05,77.11,20,0,8.57,clear sky
131,Srednekolymsk,RU,67.45,153.6833,32.07,95,99,14.03,light snow
132,Paamiut,GL,61.994,-49.6678,34.21,73,0,17.87,clear sky
133,Damietta,EG,31.4165,31.8133,76.89,61,0,9.13,clear sky
134,Port Blair,IN,11.6667,92.75,80.01,87,100,11.63,overcast clouds
135,Provideniya,RU,64.3833,-173.3,31.91,88,100,3.69,overcast clouds
136,Vaini,TO,-21.2,-175.2,71.76,68,75,6.91,broken clouds
137,Sabha,LY,27.0377,14.4283,78.78,31,0,12.17,clear sky
138,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,21,0,26.46,clear sky
139,Kurilsk,RU,45.2333,147.8833,51.42,78,55,9.64,broken clouds
140,Lompoc,US,34.6391,-120.4579,86.02,78,1,12.66,clear sky
141,Mitchell,US,43.7094,-98.0298,82.11,31,5,7.0,clear sky
142,Balykshi,KZ,47.0667,51.8667,50.0,66,40,6.71,scattered clouds
143,Concepcion,CL,-36.827,-73.0498,55.2,82,90,5.75,overcast clouds
144,Maldonado,UY,-34.6667,-54.9167,65.59,84,74,8.97,broken clouds
145,Vestmanna,FO,62.1564,-7.1664,52.72,100,90,12.66,mist
146,Sept-Iles,CA,50.2001,-66.3821,61.32,87,75,1.99,broken clouds
147,Cuenca,EC,-2.8833,-78.9833,64.53,59,75,11.5,light rain
148,Svetlaya,RU,46.5389,138.3297,54.01,60,100,3.47,overcast clouds
149,Alofi,NU,-19.0595,-169.9187,75.09,57,40,6.91,scattered clouds
150,Abha,SA,18.2164,42.5053,69.62,12,0,4.61,clear sky
151,Verkhoyansk,RU,67.5447,133.385,32.52,89,98,0.96,overcast clouds
152,Havelock,US,34.8791,-76.9013,80.06,55,4,3.0,clear sky
153,Kamaishi,JP,39.2667,141.8833,61.25,83,100,4.99,overcast clouds
154,Sioux Lookout,CA,50.1001,-91.917,59.38,62,90,9.22,overcast clouds
155,Tasiilaq,GL,65.6145,-37.6368,31.82,70,100,8.55,overcast clouds
156,Stromness,GB,58.965,-3.296,61.05,88,78,10.0,broken clouds
157,Kodiak,US,57.79,-152.4072,41.86,54,49,4.88,scattered clouds
158,Lagoa,PT,39.05,-27.9833,70.97,84,100,7.96,overcast clouds
159,Yakima,US,46.4665,-120.6678,82.85,32,0,4.63,clear sky
160,Tangping,CN,22.0265,111.9323,75.97,92,1,4.05,clear sky
161,Las Matas De Farfan,DO,18.8731,-71.5166,81.57,71,93,2.68,overcast clouds
162,Elko,US,41.0002,-115.5012,82.74,11,0,14.0,clear sky
163,Cherskiy,RU,68.75,161.3,31.62,98,100,10.83,light snow
164,Luderitz,NA,-26.6481,15.1594,61.83,56,44,14.9,scattered clouds
165,Grahamstown,ZA,-33.3042,26.5328,54.46,73,83,5.19,broken clouds
166,Wasilla,US,61.5814,-149.4394,40.03,92,90,4.61,mist
167,Rassvet,RU,46.8333,40.75,53.62,95,52,6.71,broken clouds
168,Goderich,CA,43.7501,-81.7165,59.92,72,96,12.66,overcast clouds
169,Mar Del Plata,AR,-38.0023,-57.5575,62.1,59,75,4.0,broken clouds
170,Macau,MO,22.2006,113.5461,84.13,79,20,10.36,light rain
171,Loviisa,FI,60.4566,26.2251,48.45,91,91,10.2,overcast clouds
172,Saldanha,ZA,-33.0117,17.9442,59.05,92,91,3.83,overcast clouds
173,Luwuk,ID,-0.9516,122.7875,76.3,90,98,4.74,overcast clouds
174,Salalah,OM,17.0151,54.0924,79.59,87,21,1.77,few clouds
175,Pointe-Noire,CG,-4.7761,11.8635,78.87,83,75,8.05,broken clouds
176,Magaria,NE,12.9983,8.9099,83.28,41,5,8.86,clear sky
177,Porto Novo,BJ,6.4965,2.6036,75.02,88,100,4.94,light rain
178,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,9.22,scattered clouds
179,Klaksvik,FO,62.2266,-6.589,54.52,94,100,25.55,overcast clouds
180,Aykhal,RU,66.0,111.5,30.22,86,94,7.18,overcast clouds
181,Berlevag,NO,70.8578,29.0864,46.58,85,97,10.25,overcast clouds
182,Bucerias,MX,20.75,-105.3333,87.98,78,40,6.76,scattered clouds
183,Tual,ID,-5.6667,132.75,81.0,79,91,16.15,overcast clouds
184,Acajutla,SV,13.5928,-89.8275,83.5,75,46,4.59,scattered clouds
185,Rio Grande,BR,-32.035,-52.0986,68.11,90,41,6.08,scattered clouds
186,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,86,75,5.75,broken clouds
187,Juegang,CN,32.3174,121.1855,73.98,79,96,8.88,overcast clouds
188,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,94,90,10.76,overcast clouds
189,Dingle,PH,10.9995,122.6711,75.92,91,87,4.16,overcast clouds
190,Inirida,CO,3.8653,-67.9239,83.05,75,90,2.13,overcast clouds
191,San Cristobal,VE,7.7669,-72.225,89.78,72,25,6.91,scattered clouds
192,Desnogorsk,RU,54.1508,33.2815,51.48,95,97,11.18,overcast clouds
193,Yumen,CN,40.2833,97.2,52.97,37,0,3.22,clear sky
194,Killam,CA,52.7834,-111.8518,69.75,35,100,11.5,overcast clouds
195,Nuuk,GL,64.1835,-51.7216,32.88,40,0,8.01,clear sky
196,Yeppoon,AU,-23.1333,150.7333,56.98,76,83,1.7,broken clouds
197,Nogliki,RU,51.8333,143.1667,48.97,82,100,14.74,overcast clouds
198,Murgab,TM,37.4966,61.9714,73.27,28,0,6.91,clear sky
199,Sondrio,IT,46.169,9.8692,68.65,92,78,1.83,broken clouds
200,Mahebourg,MU,-20.4081,57.7,72.25,83,75,14.97,broken clouds
201,Boyolangu,ID,-8.1181,111.8935,74.73,92,72,5.08,broken clouds
202,Ereymentau,KZ,51.6199,73.1033,41.47,47,11,3.31,few clouds
203,Ayan,RU,56.45,138.1667,51.55,64,100,13.33,overcast clouds
204,Zweibrucken,DE,49.25,7.3667,65.55,65,75,3.44,broken clouds
