City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Saldanha,ZA,2021-09-20 02:58:11,-33.0117,17.9442,57.25,85,85,14.58
107,Puerto Ayora,EC,2021-09-20 02:58:11,-0.7393,-90.3518,67.55,95,49,1.01
108,Bologoye,RU,2021-09-20 02:58:12,57.8799,34.1068,39.78,73,100,13.22
109,Aguilas,ES,2021-09-20 02:58:12,37.4063,-1.5829,73.33,77,17,6.31
110,Rio Gallegos,AR,2021-09-20 02:58:13,-51.6226,-69.2181,44.65,65,0,12.66
111,East London,ZA,2021-09-20 02:58:13,-33.0153,27.9116,59.76,83,21,12.06
112,Upernavik,GL,2021-09-20 02:58:13,72.7868,-56.1549,25.5,66,97,9.37
113,Castro,BR,2021-09-20 02:58:14,-24.7911,-50.0119,65.28,83,100,4.21
114,Pevek,RU,2021-09-20 02:58:15,69.7008,170.3133,30.74,69,71,2.75
115,Mangrol,IN,2021-09-20 02:58:15,21.1167,70.1167,81.48,83,16,4.18
116,Kavieng,PG,2021-09-20 02:58:16,-2.5744,150.7967,84.04,70,97,6.31
117,Tuatapere,NZ,2021-09-20 02:58:16,-46.1333,167.6833,61.83,79,100,9.31
118,Merauke,ID,2021-09-20 02:58:17,-8.4667,140.3333,80.67,79,99,11.61
119,Homer,US,2021-09-20 02:58:17,59.6425,-151.5483,59.07,65,52,0.16
120,Turbat,PK,2021-09-20 02:58:18,26.0023,63.044,80.49,80,0,4.85
121,Fortuna,US,2021-09-20 02:56:11,40.5982,-124.1573,58.12,88,1,11.5
122,Campo Maior,BR,2021-09-20 02:58:19,-4.8278,-42.1686,80.15,61,99,7.58
123,Manado,ID,2021-09-20 02:58:19,1.487,124.8455,86.77,74,40,5.75
124,Banda Aceh,ID,2021-09-20 02:58:20,5.5577,95.3222,79.56,75,100,8.86
125,Mahibadhoo,MV,2021-09-20 02:58:20,3.7833,72.9667,82.78,74,89,8.75
126,Tasiilaq,GL,2021-09-20 02:58:21,65.6145,-37.6368,23.32,69,34,5.01
127,Arraial Do Cabo,BR,2021-09-20 02:58:21,-22.9661,-42.0278,71.65,88,100,12.39
128,Norman Wells,CA,2021-09-20 02:58:22,65.282,-126.8329,44.64,76,75,6.91
129,Calvia,ES,2021-09-20 02:58:22,39.5657,2.5062,67.08,89,0,3.83
130,Tual,ID,2021-09-20 02:58:23,-5.6667,132.75,80.17,81,59,17.83
131,Mount Isa,AU,2021-09-20 02:58:23,-20.7333,139.5,91.17,18,10,12.66
132,Evensk,RU,2021-09-20 02:58:24,61.95,159.2333,48.34,87,100,11.63
133,Verkhnyaya Inta,RU,2021-09-20 02:58:24,65.9811,60.3094,34.83,79,90,5.23
134,Oranjestad,AW,2021-09-20 02:58:25,12.524,-70.027,82.35,78,20,13.8
135,Morehead,US,2021-09-20 02:58:25,37.2711,-87.1764,72.3,96,90,3.44
136,Airai,TL,2021-09-20 02:58:26,-8.9266,125.4092,76.96,34,11,6.89
137,Povenets,RU,2021-09-20 02:58:26,62.8487,34.8262,40.75,70,70,8.63
138,Buta,CD,2021-09-20 02:58:27,2.7858,24.73,69.85,99,100,2.24
139,Funchal,PT,2021-09-20 02:58:27,32.6333,-16.9,72.23,83,75,1.99
140,Guerrero Negro,MX,2021-09-20 02:58:28,27.9769,-114.0611,68.99,79,0,15.84
141,Nhulunbuy,AU,2021-09-20 02:58:28,-12.2333,136.7667,86.61,58,40,18.41
142,Lebu,CL,2021-09-20 02:58:29,-37.6167,-73.65,46.87,84,1,15.23
143,Powell,US,2021-09-20 02:54:51,40.1578,-83.0752,75.67,76,100,1.99
144,Pionerskiy,RU,2021-09-20 02:58:29,54.9508,20.2275,48.04,72,100,16.58
145,Salalah,OM,2021-09-20 02:58:30,17.0151,54.0924,79.29,80,9,4.56
146,Thabazimbi,ZA,2021-09-20 02:58:30,-24.5917,27.4116,61.11,46,1,7.14
147,Yumen,CN,2021-09-20 02:55:39,40.2833,97.2,76.87,14,32,12.48
148,Havre-Saint-Pierre,CA,2021-09-20 02:58:31,50.2334,-63.5986,48.2,81,1,5.75
149,Coihueco,CL,2021-09-20 02:58:31,-36.6167,-71.8333,45.34,71,4,6.91
150,Severo-Kurilsk,RU,2021-09-20 02:58:32,50.6789,156.125,51.85,74,36,15.99
