City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
652,Vila Velha,BR,77.97,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
653,San Ramon,US,86.4,scattered clouds,37.7799,-121.978,San Ramon Marriott
655,Paciran,ID,78.24,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
660,Jieshi,CN,79.14,clear sky,22.8134,115.8257,Yuehai Hotel
662,Rabaul,PG,79.84,overcast clouds,-4.1967,152.1721,Rabaul Hotel
664,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
666,Bonthe,SL,78.87,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
671,Kalmunai,LK,79.75,overcast clouds,7.4167,81.8167,VS Villa
673,Tiguisan,PH,77.07,broken clouds,12.8394,121.4605,Queen Palace Hotel
676,Eydhafushi,MV,81.46,overcast clouds,5.1033,73.0708,Soneva Fushi
679,Copiapo,CL,76.87,clear sky,-27.3667,-70.3333,San Francisco de La Selva
682,Rosario,AR,78.08,clear sky,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
684,Hirara,JP,83.07,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
