City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
448,Dhidhdhoo,MV,81.3,overcast clouds,6.8833,73.1,Dhidhoo beach
452,Bambanglipuro,ID,77.13,overcast clouds,-7.95,110.2833,Puri Brata
457,Camocim,BR,81.5,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
458,Road Town,VG,86.2,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
460,Ixtapa,MX,87.22,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
463,Meadow Lake,US,85.71,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
467,Maraa,BR,84.58,overcast clouds,-1.8333,-65.3667,
468,Ardakan,IR,81.25,clear sky,32.31,54.0175,Ardakan Hotel
474,Nalgonda,IN,77.23,light rain,17.05,79.2667,Sai Krishna Residency
475,Pacific Grove,US,87.57,scattered clouds,36.6177,-121.9166,Lovers Point Inn
476,Porto Seguro,BR,75.72,few clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
479,Reconquista,AR,79.03,clear sky,-29.15,-59.65,Grand Hotel
482,Ewa Beach,US,83.98,clear sky,21.3156,-158.0072,Uncle Junior Robert
483,Amlagora,IN,78.46,scattered clouds,22.8333,87.3333,Mohul Guest House
486,Morden,CA,80.98,overcast clouds,49.1919,-98.1014,Morden Motor Inn
487,Ko Samui,TH,81.57,overcast clouds,9.5357,99.9357,The Passage
488,Puerto Colombia,CO,86.09,broken clouds,10.9878,-74.9547,Hotel El Emigrante
489,Southbridge,US,76.08,few clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
493,Galesong,ID,75.22,scattered clouds,-5.3166,119.3661,Sapriadi Appy
495,Batticaloa,LK,80.76,overcast clouds,7.7102,81.6924,Grand Star Guest House
498,Sakakah,SA,79.48,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
501,Nargana,PA,83.91,overcast clouds,9.4428,-78.5906,Dubbir
502,Vazante,BR,87.75,scattered clouds,-17.9869,-46.9078,Hotel Pousada e Restaurante
506,Mabaruma,GY,84.07,few clouds,8.2,-59.7833,Monty Brooms Guest House
508,Kyaukse,MM,76.82,broken clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
509,Tomatlan,MX,88.56,scattered clouds,19.9333,-105.25,El Salvial
510,Nuqui,CO,81.43,broken clouds,5.7125,-77.2708,Hotel Nuquimar
513,Nagua,DO,89.46,light rain,19.3832,-69.8474,Hotel Cambri
515,Qeshm,IR,89.47,overcast clouds,26.9581,56.2719,Qeshm Kavan Hotel
516,Santa Fe,AR,79.75,clear sky,-31.6333,-60.7,Conquistador Hotel
521,Iquitos,PE,79.45,overcast clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
523,Aquiraz,BR,81.18,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
525,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
526,Pochutla,MX,89.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
527,Cabedelo,BR,77.63,few clouds,-6.9811,-34.8339,Hotel Pigalle
528,Barra Patuca,HN,83.07,overcast clouds,15.8,-84.2833,
529,Key West,US,87.01,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
532,Zhob,PK,76.39,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
534,Fare,PF,78.26,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
535,Tessalit,ML,89.55,clear sky,20.1986,1.0114,
539,Djenne,ML,87.8,broken clouds,13.9061,-4.5533,Hôtel Chez Baba
541,Epe,NG,75.49,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
547,Mahuva,IN,78.15,overcast clouds,21.0914,71.7622,Hotel Blue Diamond.
557,Meulaboh,ID,75.88,overcast clouds,4.1363,96.1285,Kost Pria
558,Avare,BR,76.06,few clouds,-23.0986,-48.9258,Hotel Rio Novo
